100 300
39 58 88
73 40 155
63 14 362
86 69 379
89 91 383
60 31 64
73 30 119
38 41 390
15 4 481
92 28 34
4 26 95
11 49 268
27 81 348
3 80 46
49 57 30
77 78 201
63 19 324
49 87 238
80 75 165
51 46 132
75 55 367
87 97 266
49 6 100
31 46 371
25 75 105
84 14 93
58 75 411
29 29 29
44 95 415
76 33 27
56 51 14
97 21 71
99 21 183
65 5 275
5 33 181
13 74 153
62 33 369
66 2 229
27 82 121
47 92 138
17 32 112
36 94 422
31 18 377
30 31 397
43 95 328
64 48 433
64 95 434
5 95 18
84 75 33
37 12 220
66 57 84
19 46 23
48 17 10
36 22 334
96 2 237
38 27 148
56 47 25
4 97 185
92 46 38
64 64 269
1 90 159
81 20 129
4 91 257
61 37 209
38 13 250
55 1 353
70 7 331
23 92 499
41 25 173
16 98 11
44 75 392
33 76 197
3 51 424
23 71 450
83 42 459
22 61 62
50 6 143
22 14 164
82 62 377
57 0 137
52 80 458
67 70 482
46 31 384
63 41 223
93 79 141
8 84 136
3 74 480
25 2 367
79 27 138
67 5 340
75 68 112
94 69 450
68 11 368
52 49 75
20 34 295
25 16 361
17 97 94
1 18 140
9 24 308
3 66 41
67 67 29
70 24 53
44 39 92
80 48 260
22 6 229
42 59 53
24 23 416
41 63 190
70 94 413
18 90 68
96 94 194
11 31 338
83 73 173
45 82 196
88 74 492
34 29 484
80 6 302
42 80 360
62 44 386
47 29 479
42 18 27
51 82 40
5 61 490
46 72 440
1 47 285
12 81 464
73 27 53
1 82 262
66 12 406
26 49 142
83 93 172
81 35 383
62 41 324
20 6 365
88 35 253
57 18 50
14 27 311
45 70 246
49 0 72
6 75 192
78 11 148
81 3 407
98 16 284
42 63 93
72 81 289
9 35 213
86 55 492
56 46 47
53 60 155
41 75 212
3 11 12
0 70 364
63 40 287
25 73 266
0 76 99
17 71 102
50 1 60
59 47 299
27 88 309
3 27 126
45 35 302
88 28 348
26 12 175
40 38 25
69 52 38
5 64 80
31 77 112
33 46 193
46 25 468
47 60 166
48 65 1
42 43 310
56 73 267
24 25 105
58 81 171
41 0 376
18 22 435
25 20 270
63 94 282
99 13 299
25 13 309
19 13 461
73 97 496
92 53 246
90 21 56
10 23 193
11 54 216
19 0 166
14 88 408
68 80 351
86 63 34
98 92 386
97 47 312
0 84 26
38 60 32
37 21 254
29 44 484
92 44 449
89 21 471
65 93 392
70 46 318
75 91 323
60 57 364
12 94 239
91 87 10
42 2 330
40 64 75
38 85 418
89 79 111
87 28 401
7 31 412
24 14 311
98 59 393
65 60 197
98 44 124
29 31 243
69 45 333
52 41 425
91 64 170
94 75 459
65 64 72
57 84 367
51 54 215
55 88 419
74 81 379
59 18 424
72 55 11
30 5 263
73 91 325
1 14 90
24 48 202
37 8 363
86 47 474
96 95 354
37 11 77
56 6 117
48 82 76
12 23 370
7 68 0
24 64 240
50 25 404
77 54 424
53 47 191
2 5 467
5 48 12
87 98 444
93 46 35
16 17 72
28 56 350
10 48 169
20 25 394
43 57 62
70 5 24
6 93 260
3 87 108
10 52 205
13 6 229
15 54 266
96 66 84
94 28 180
24 38 108
81 92 340
63 46 234
57 52 210
1 64 23
96 99 441
27 89 388
65 58 464
38 0 283
66 58 385
25 28 188
79 60 120
54 15 233
15 63 173
88 61 21
30 52 380
42 54 185
96 44 73
33 94 465
2 79 141
82 65 308
44 41 229
73 41 113
45 52 286
81 94 443
73 22 430
31 16 376
43 37 354
22 19 202
18 29 48
37 92 214
10 89 202
83 9 268
39 6 411
68 33 246
73 84 382
51 53 437
66 17 238
80 49 190
90 72 386
